Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, K, L, M, N, Open, High, Low, Close, Ask Volume, Bid Volume, Zero Line, Difference
2025-7-29, 05:45:00.000000, 638.46, 638.47, 638.46, 638.46, 430, 3, 638.46, 638.46, 638.46, 430, 0, 0.000, 0.000, 0.000, 0.000, -430, -430, -430, -430, 0, -430, 0, -430
2025-7-29, 05:50:00.000000, 638.64, 638.74, 638.64, 638.64, 11271, 31, 638.67, 638.67, 638.69, 1300, 9971, 0.000, 0.000, 0.000, 0.000, 0, 9171, -100, 8671, 9971, -1300, 0, 8671
2025-7-29, 05:55:00.000000, 638.64, 638.73, 638.32, 638.56, 9150, 66, 638.56, 638.54, 638.53, 5025, 4125, 0.000, 0.000, 0.000, 0.000, -800, -800, -3100, -900, 4125, -5025, 0, -900
2025-7-29, 06:00:00.000000, 638.65, 638.75, 638.65, 638.67, 2512, 15, 638.68, 638.69, 638.70, 1899, 613, 0.000, 0.000, 0.000, 0.000, 0, 213, -1586, -1286, 613, -1899, 0, -1286
2025-7-29, 06:05:00.000000, 638.69, 638.69, 638.59, 638.65, 1410, 13, 638.66, 638.64, 638.64, 1110, 300, 0.000, 0.000, 0.000, 0.000, -110, -110, -810, -810, 300, -1110, 0, -810
2025-7-29, 06:10:00.000000, 638.66, 638.69, 638.63, 638.63, 1300, 9, 638.65, 638.65, 638.66, 900, 400, 0.000, 0.000, 0.000, 0.000, 0, 0, -800, -500, 400, -900, 0, -500
2025-7-29, 06:15:00.000000, 638.60, 638.65, 638.57, 638.59, 1310, 10, 638.60, 638.60, 638.61, 600, 710, 0.000, 0.000, 0.000, 0.000, 0, 110, -500, 110, 710, -600, 0, 110
2025-7-29, 06:20:00.000000, 638.58, 638.58, 638.58, 638.58, 140, 1, 638.58, 638.58, 638.58, 0, 140, 0.000, 0.000, 0.000, 0.000, 140, 140, 140, 140, 140, 0, 0, 140
2025-7-29, 06:25:00.000000, 638.61, 638.66, 638.61, 638.65, 1500, 11, 638.63, 638.64, 638.64, 1500, 0, 0.000, 0.000, 0.000, 0.000, -150, -150, -1500, -1500, 0, -1500, 0, -1500
2025-7-29, 06:30:00.000000, 638.65, 638.80, 638.65, 638.73, 12986, 60, 638.71, 638.73, 638.72, 2620, 10366, 0.000, 0.000, 0.000, 0.000, 200, 10066, 200, 7746, 10366, -2620, 0, 7746
2025-7-29, 06:35:00.000000, 638.70, 638.78, 638.65, 638.75, 1518, 15, 638.72, 638.73, 638.72, 1115, 403, 0.000, 0.000, 0.000, 0.000, -315, -315, -815, -712, 403, -1115, 0, -712
2025-7-29, 06:40:00.000000, 638.75, 638.75, 638.70, 638.70, 1100, 7, 638.72, 638.72, 638.72, 100, 1000, 0.000, 0.000, 0.000, 0.000, 100, 900, 100, 900, 1000, -100, 0, 900
2025-7-29, 06:45:00.000000, 638.76, 638.76, 638.75, 638.75, 300, 3, 638.76, 638.75, 638.76, 100, 200, 0.000, 0.000, 0.000, 0.000, 100, 200, 100, 100, 200, -100, 0, 100
2025-7-29, 06:50:00.000000, 638.70, 638.75, 638.70, 638.75, 792, 7, 638.72, 638.73, 638.72, 200, 592, 0.000, 0.000, 0.000, 0.000, 0, 392, -100, 392, 592, -200, 0, 392
2025-7-29, 06:55:00.000000, 638.71, 638.73, 638.68, 638.71, 980, 8, 638.71, 638.71, 638.70, 680, 300, 0.000, 0.000, 0.000, 0.000, 0, 100, -380, -380, 300, -680, 0, -380
2025-7-29, 07:00:00.000000, 638.69, 638.89, 638.69, 638.73, 16897, 94, 638.75, 638.77, 638.79, 5697, 11200, 0.000, 0.000, 0.000, 0.000, 0, 6632, -2437, 5503, 11200, -5697, 0, 5503
